TOKEN_ID,TOKEN_NAME,Species,Location,Muscles,Armour,Helmet,Trim,Helmet Glow,Body Glow,Katanas,Katana Left,Katana Right,Robes,Shoulder Robe Right,Rare Equipment #1,Rare Equipment #2,Rare Equipment #3,Kunais,Kunai Left,Kunai Right,Shoulder Robe Left,Special Ability #1,Crossbow,Jetpack,Zweihanders,Zweihander Left,Glitchcloak,Special Ability #2,Shield,Speed,Stamina,Craftsmanship,Defence,Stealth,Leadership,Communication,Weapon Skill,Attack,Charge,Toughness,Health,Range,Damage,Intelligence,Freewill,Psychic,Magic,Battle Score,Medi Kits,Special Ability #3,Hood,Shadow Blades,Shadow Blade Right,Spears,Spear Left,Swiftcloak,Spear Right,Zweihander Right,Special Ability #4,Special Ability #5,Special Ability #6,Special Ability #7,Shadow Blade Left
1715,Cobalt,Logistics,Warehouse,Orange,Grey,Grey,Rust,,Yellow,,,,,,,,,,,,,Blind charge,,Equipped,,,,,,79.0,50.0,83.0,28.0,47.0,-1.0,100.0,28.0,44.0,54.0,40.0,39.0,43.0,35.0,85.0,85.0,0.0,0.0,47.0,,,,,,,,,,,,,,,
1716,Medovoi,Snow,Arctic,Glossy White,Glossy White,Glossy White,Snow Camo,Yellow,Yellow,,,,Full,Mesh Maroon,,,,Single,Black Tip Kunai,,Mesh Maroon,Blind charge,Equipped,Equipped,,,,Dead eye,,92.0,64.0,64.0,61.0,58.0,70.0,100.0,77.0,68.0,65.0,63.0,58.0,84.0,62.0,85.0,85.0,0.0,0.0,64.0,,Shadow born,,,,,,,,,Starkware,,,,
1717,Sperber,Civil,Temple Ruins,Yellow,Grey,White,Black,,,Dual,Rusty,Rusty,,,,,,,,,,Healer,,,,,,,,65.0,61.0,97.0,41.0,51.0,-4.0,100.0,44.0,47.0,41.0,34.0,73.0,35.0,42.0,85.0,85.0,0.0,0.0,50.0,Dual,,,,,,,,,,,,,,
1718,Richelle,Snow,Arctic,Glossy White,White,White,Glossy White,Blue,Yellow,,,,Single,,,,,Dual,Black Tip Kunai,Black Tip Kunai,Mesh Maroon,Circus knives,,,,,,,,67.0,61.0,65.0,59.0,46.0,65.0,100.0,62.0,60.0,43.0,53.0,53.0,69.0,67.0,85.0,85.0,0.0,0.0,58.0,,,Mesh Maroon,,,,,,,,,,,,
1719,Yadon,Civil,Workshop,White,Black,Grey,Black,Purple,Yellow,Dual,Rusty,Rusty,,,,,,,,,,Final defence,,,,,,Healer,,65.0,68.0,101.0,48.0,45.0,9.0,100.0,51.0,47.0,43.0,43.0,73.0,35.0,42.0,85.0,85.0,0.0,0.0,52.0,Dual,,,,,,,,,,,,,,
1720,Stroud,Construction,Crane Sunset,Grey,Grey,Amber,Amber,Yellow,Yellow,,,,,,,,,,,,,,,,,,,,,60.0,56.0,97.0,33.0,40.0,3.0,100.0,42.0,42.0,41.0,39.0,53.0,35.0,40.0,85.0,85.0,0.0,0.0,47.0,Left,,,,,,,,,,,,,,
1721,Alicea,Jungle,Jungle,Glossy Black,Army Camo,Army Camo,Green,Blue,Blue,Single,Plasma Blue,,,,,,,Single,Black Tip Kunai,,,Amazonian,Equipped,,,,,Javelin,Equipped,77.0,64.0,61.0,82.0,58.0,75.0,100.0,97.0,90.0,60.0,62.0,71.0,74.0,73.0,85.0,85.0,0.0,0.0,67.0,,Circus knives,,,,Single,,,Blue,,,,,,
1722,Carly,Jungle,Jungle,Army Camo,Army Camo,Green,Army Camo,Blue,Orange,,,,Full,Mesh Swamp Green,,,,Dual,Black Tip Kunai,Black Tip Kunai,Mesh Swamp Green,Artisan,,,,,,Circus knives,,66.0,59.0,77.0,78.0,50.0,82.0,100.0,85.0,96.0,55.0,59.0,64.0,65.0,73.0,85.0,85.0,0.0,0.0,66.0,,,Mesh Swamp Green,,,Single,,,Green,,,,,,
1723,Tuffy,Construction,Construction Site,Rust,Amber,Amber,Grey,Orange,Yellow,,,,,,,,,,,,,Starkware,,Equipped,,,,,,80.0,61.0,95.0,39.0,45.0,8.0,100.0,47.0,46.0,55.0,44.0,57.0,48.0,40.0,85.0,85.0,0.0,0.0,52.0,Right,,,,,,,,,,,,,,
1724,Juliocesar,Civil,Temple Ruins,White,Yellow,Grey,White,Purple,Yellow,Single,,Rusty,,,,,,,,,,,,,,,,,,63.0,59.0,99.0,40.0,40.0,10.0,100.0,42.0,45.0,42.0,36.0,58.0,35.0,41.0,85.0,85.0,0.0,0.0,49.0,Dual,,,,,,,,,,,,,,
1725,Berkeley,Defender,Laboratory,Glossy Black,Purple,Silver,Glossy Black,Blue,Blue,,,,Single,Mesh Light Purple,,,,Dual,EMP Kunai,EMP Kunai,,,,,Single,,,,,62.0,66.0,60.0,95.0,41.0,79.0,100.0,85.0,73.0,40.0,69.0,65.0,56.0,77.0,85.0,85.0,0.0,0.0,63.0,,,,,,,,,,Equipped,,,,,
1726,Brockton,Civil,Temple Ruins,Grey,Black,Grey,,Purple,,Dual,Rusty,Rusty,,,,,,,,,,Artisan,,,,,,,,69.0,61.0,110.0,32.0,44.0,-2.0,100.0,49.0,46.0,42.0,25.0,47.0,35.0,42.0,85.0,85.0,0.0,0.0,48.0,Left,,,,,,,,,,,,,,
1727,Vaughn,Hunter,Abandoned Building,Glossy Black,Urban Camo,Red,Silver,,,Single,,Plasma Red,,,,,,,,,,,Equipped,,,,,,,92.0,76.0,60.0,76.0,84.0,75.0,100.0,84.0,77.0,54.0,62.0,61.0,70.0,72.0,85.0,85.0,0.0,0.0,67.0,,,Oil Splat Hybrid Metallic,Single,,,,,,,,,,,Equipped
1728,Aigner,Civil,Temple Ruins,Black,Black,Black,,Yellow,Yellow,,,,,,,,,,,,,Blind charge,,,,,,Healer,,70.0,52.0,97.0,32.0,39.0,4.0,100.0,42.0,44.0,51.0,38.0,64.0,35.0,40.0,85.0,85.0,0.0,0.0,49.0,Left,,,,,,,,,,,,,,
1729,Tranomius,Logistics,Warehouse,Rust,Rust,Rust,Grey,Orange,Yellow,,,,,,,,,,,,,Herd immunity,,Equipped,,,,Starkware,,81.0,60.0,94.0,22.0,47.0,0.0,100.0,23.0,37.0,50.0,29.0,46.0,44.0,35.0,90.0,85.0,0.0,0.0,47.0,Left,Trust in rust,,,,,,,,,,,,,
1730,Dzielak,Snow,Arctic,Snow Camo,Glossy White,Red Jelly,Snow Camo,Yellow,Green,,,,Full,Mesh Maroon,,,,Single,,Black Tip Kunai,Mesh Maroon,Javelin,Equipped,,,,,Circus knives,,65.0,60.0,64.0,76.0,47.0,90.0,100.0,102.0,92.0,54.0,65.0,65.0,96.0,74.0,85.0,85.0,0.0,10.0,68.0,,Shadow born,Mesh Maroon,,,Dual,Pink,,Blue,,,,,,
1731,Chrisandra,Zen,Lake,Glossy Black,Gold,Silver,Gold,Red,White,Single,,Plasma White,,,,,,,,,,Holy,Equipped,,Single,Equipped,,Conceled,,103.0,81.0,60.0,83.0,61.0,109.0,97.0,95.0,78.0,52.0,76.0,74.0,70.0,79.0,85.0,85.0,0.0,0.0,72.0,,Enabler,,,,,,Equipped,,,,,,,
1732,Temple,Logistics,Warehouse,Grey,Grey,Rust,Rust,Yellow,,,,,,,,,,,,,,,,,,,,,,59.0,50.0,90.0,27.0,44.0,-6.0,100.0,22.0,38.0,36.0,29.0,39.0,35.0,35.0,85.0,85.0,0.0,0.0,43.0,Left,,,,,,,,,,,,,,
1733,Mateyko,Civil,Workshop,White,Yellow,White,,Purple,,Single,,Rusty,,,,,,,,,,Bills kill,,,,,,Healer,,67.0,59.0,96.0,41.0,43.0,1.0,100.0,53.0,53.0,41.0,31.0,69.0,37.0,41.0,85.0,85.0,0.0,0.0,50.0,Dual,,,,,,,,,,,,,,
1734,Ember,Civil,Temple Ruins,Black,Black,Black,,Yellow,Yellow,Single,,Rusty,,,,,,,,,,Bills kill,,,,,,Healer,,67.0,59.0,102.0,41.0,40.0,3.0,100.0,53.0,53.0,42.0,32.0,69.0,37.0,41.0,85.0,85.0,0.0,0.0,51.0,Dual,,,,,,,,,,,,,,
1735,Bicer,Logistics,Warehouse,Grey,Grey,Grey,Orange,,Yellow,,,,,,,,,,,,,Artisan,,Equipped,,,,,,74.0,55.0,106.0,27.0,48.0,-5.0,100.0,28.0,40.0,44.0,25.0,40.0,43.0,35.0,85.0,85.0,0.0,0.0,46.0,Left,,,,,,,,,,,,,,
1736,Tafari,Construction,Construction Site,Amber,Grey,Grey,Rust,,,,,,,,,,,,,,,,,Equipped,,,,,,75.0,61.0,88.0,31.0,51.0,-5.0,100.0,45.0,44.0,48.0,40.0,49.0,43.0,40.0,85.0,85.0,0.0,0.0,49.0,,,,,,,,,,,,,,,
1737,Ghafdui,Logistics,Warehouse,Grey,Rust,Grey,Grey,Orange,Yellow,,,,,,,,,,,,,Blind charge,,Equipped,,,,Artisan,,79.0,50.0,107.0,27.0,45.0,0.0,100.0,27.0,39.0,55.0,31.0,40.0,43.0,35.0,85.0,85.0,0.0,0.0,47.0,Left,,,,,,,,,,,,,,
1738,Johnthomas,Logistics,Brutalist,Grey,Grey,Orange,Orange,Yellow,Yellow,,,,,,,,,,,,,Jetburst,,Equipped,,,,,,74.0,55.0,86.0,23.0,45.0,3.0,100.0,27.0,43.0,60.0,35.0,38.0,43.0,35.0,85.0,85.0,0.0,0.0,47.0,,,,,,,,,,,,,,,
1739,Aleenan,Citizen,Alley,Carbon Grey,Carbon Grey,Black,Black,Orange,,Dual,Shiny,Rusty,,,,,,,,,,Artisan,,,,,,Healer,,70.0,63.0,89.0,58.0,50.0,34.0,100.0,61.0,55.0,45.0,46.0,80.0,35.0,43.0,85.0,85.0,0.0,0.0,56.0,Dual,,,,,,,,,,,,,,
1740,Arta,Logistics,Brutalist,Rust,Orange,Orange,,Orange,,,,,,,,,,,,,,Starkware,,Equipped,,,,Jetburst,,83.0,55.0,79.0,22.0,47.0,-3.0,100.0,30.0,46.0,64.0,33.0,37.0,48.0,35.0,85.0,85.0,0.0,0.0,47.0,,,,,,,,,,,,,,,
1741,Terence,Logistics,Brutalist,Grey,Rust,Grey,,Yellow,,,,,,,,,,,,,,Blind charge,,Equipped,,,,Mortal faith,,83.0,50.0,89.0,22.0,48.0,-10.0,100.0,22.0,44.0,61.0,30.0,35.0,43.0,35.0,80.0,85.0,0.0,0.0,45.0,Left,,,,,,,,,,,,,,
1742,Jeremie,Construction,Crane Sunset,Grey,Grey,Rust,Rust,,,,,,,,,,,,,,,Healer,,Equipped,,,,,,75.0,61.0,98.0,29.0,52.0,-11.0,100.0,36.0,39.0,47.0,32.0,69.0,43.0,40.0,85.0,85.0,0.0,0.0,49.0,Dual,,,,,,,,,,,,,,
1743,Janely,Police,Urban,Carbon Grey,Blue Camo,Blue Camo,Dark Blue,,Blue,Dual,Plasma Blue,Shiny,,,,,,,,,,Plasma burn,,,,,,,,76.0,69.0,65.0,66.0,48.0,58.0,100.0,66.0,66.0,55.0,58.0,67.0,42.0,54.0,85.0,85.0,0.0,0.0,59.0,Left,,,,,,,,,,,,,,
1744,Zhuakahs,Police,Urban,Blue Camo,Black,Blue Camo,Black,,Blue,Dual,Plasma Blue,Plasma Blue,,,,,,,,,,Blind charge,,,,,,Herd immunity,Equipped,84.0,72.0,76.0,75.0,48.0,56.0,100.0,66.0,68.0,69.0,59.0,102.0,34.0,52.0,85.0,85.0,0.0,0.0,63.0,Dual,Healer,,,,,,,,,,,,,
1745,Tuffli,Police,Urban,Carbon Grey,Blue Camo,Blue Camo,,,Blue,Dual,Plasma Blue,Plasma Blue,,,,,,,,,,Mortal faith,,,,,,,Equipped,83.0,72.0,65.0,72.0,44.0,56.0,100.0,71.0,76.0,67.0,54.0,72.0,38.0,52.0,80.0,85.0,0.0,0.0,60.0,Left,,,,,,,,,,,,,,
1746,Arrow,Construction,Construction Site,Morning Chrome,Morning Chrome,Morning Chrome,Rust,Orange,Orange,Dual,Rusty,Rusty,Full,Oil Splat Hybrid Metallic,,,,Dual,Black Tip Kunai,Black Tip Kunai,Oil Splat Hybrid Metallic,Brickie,,,,,,Shadow born,,67.0,66.0,90.0,60.0,40.0,38.0,100.0,76.0,74.0,45.0,62.0,79.0,51.0,54.0,85.0,85.0,0.0,19.0,61.0,,Morning glory,Oil Splat Hybrid Metallic,,,,,,,,,,,,
1747,Vernigny,Citizen,Alley,Grey,Carbon Grey,Carbon Grey,Urban Camo,,Orange,Dual,Shiny,Rusty,,,,,,,,,,Artisan,,,,,,Healer,,69.0,63.0,91.0,55.0,46.0,31.0,100.0,58.0,53.0,44.0,43.0,78.0,35.0,43.0,85.0,85.0,0.0,0.0,54.0,Dual,,,,,,,,,,,,,,
1748,Sneakers,Logistics,Warehouse,Orange,Grey,Rust,Orange,,Orange,,,,,,,,,,,,,Blind charge,,Equipped,,,,,,79.0,50.0,82.0,27.0,48.0,-2.0,100.0,27.0,43.0,54.0,39.0,38.0,43.0,35.0,85.0,85.0,0.0,0.0,46.0,,,,,,,,,,,,,,,
1749,Mern,Jungle,Jungle,Glossy Black,Green,Green,Green,Orange,Yellow,Single,Plasma Orange,,Full,Mesh Swamp Green,,,,Single,Black Tip Kunai,,Mesh Swamp Green,Circus knives,Equipped,,,,,Shadow born,,73.0,68.0,65.0,72.0,58.0,79.0,100.0,80.0,95.0,52.0,57.0,56.0,72.0,73.0,85.0,85.0,0.0,0.0,65.0,,,Mesh Swamp Green,,,Single,,,Orange,,,,,,
1750,Ima,Jungle,Jungle,Carbon Black,Glossy Black,Glossy Black,Army Camo,Orange,Blue,,,,Single,Mesh Swamp Green,,,,Single,Black Tip Kunai,,,Circus knives,,Equipped,,,,,,84.0,66.0,62.0,65.0,61.0,71.0,100.0,72.0,77.0,55.0,59.0,58.0,66.0,67.0,85.0,85.0,0.0,0.0,63.0,,,,,,Single,,,Green,,,,,,
1751,Kandi,Construction,Construction Site,Amber,Grey,Grey,Rust,Orange,Orange,,,,,,,,,,,,,Brickie,,Equipped,,,,Healer,,85.0,61.0,107.0,37.0,45.0,5.0,100.0,43.0,44.0,55.0,40.0,74.0,48.0,40.0,85.0,85.0,0.0,0.0,53.0,Dual,Starkware,,,,,,,,,,,,,
1752,Fellowes,Citizen,Alley,Urban Camo,Carbon Grey,Urban Camo,,Orange,,Dual,Rusty,Rusty,,,,,,,,,,Artisan,,,,,,Healer,,71.0,62.0,88.0,57.0,53.0,30.0,100.0,64.0,59.0,50.0,47.0,82.0,35.0,42.0,85.0,85.0,0.0,0.0,56.0,Dual,,,,,,,,,,,,,,
1753,Morady,Logistics,Brutalist,Orange,Grey,Grey,Orange,Orange,Yellow,,,,,,,,,,,,,Healer,,,,,,,,59.0,50.0,90.0,32.0,39.0,4.0,100.0,27.0,43.0,37.0,35.0,59.0,35.0,35.0,85.0,85.0,0.0,0.0,45.0,Left,,,,,,,,,,,,,,
1754,Britney,Snow,Arctic,White,Glossy White,Snow Camo,Glossy White,Yellow,Orange,,,,,,,,,Single,,Black Tip Kunai,,Jetburst,,Equipped,,,,,,82.0,64.0,66.0,59.0,49.0,60.0,100.0,69.0,64.0,72.0,57.0,57.0,56.0,67.0,85.0,85.0,0.0,0.0,61.0,,,,,,Single,,,Yellow,,,,,,
1755,Panayiotis,Logistics,Warehouse,Orange,Orange,Rust,,Yellow,Orange,,,,,,,,,,,,,Artisan,,Equipped,,,,Healer,,83.0,55.0,100.0,26.0,43.0,3.0,100.0,35.0,47.0,65.0,29.0,58.0,48.0,35.0,85.0,85.0,0.0,0.0,50.0,Left,Starkware,,,,,,,,,Jetburst,,,,
1756,Quinzii,Zen,Lake,Glossy White,Gold,Silver,Gold,Red,White,,,,Full,White High Gloss Silk,,,,Single,EMP Kunai,,White High Gloss Silk,Dead eye,Equipped,,Single,,,Enforcer,,79.0,69.0,60.0,117.0,47.0,121.0,100.0,113.0,88.0,49.0,87.0,74.0,68.0,78.0,85.0,85.0,0.0,0.0,73.0,,EMP blast,,Single,,,,,,Equipped,,,,,Equipped
1757,Oken,Sand,Desert,Tan,Amber,Desert Camo,Amber,Orange,Blue,,,,Full,Nylon Fabric Black Worn,,,,Single,,Black Tip Kunai,Nylon Fabric Black Worn,Shadow born,,,,,,,,68.0,61.0,68.0,59.0,68.0,70.0,100.0,62.0,54.0,46.0,55.0,54.0,44.0,61.0,85.0,85.0,0.0,0.0,58.0,,,Nylon Fabric Black Worn,,,,,,,,,,,,
1758,Lamani,Snow,Arctic,Glossy White,White,White,Snow Camo,Blue,Green,Single,,Plasma Pink,Full,Mesh Maroon,,,,Single,,Black Tip Kunai,Mesh Maroon,Blessed one,,Equipped,,,,Circus knives,,90.0,74.0,65.0,55.0,50.0,77.0,100.0,73.0,73.0,70.0,53.0,53.0,80.0,66.0,85.0,85.0,0.0,0.0,64.0,,Jetburst,,,,,,,,,,,,,
1759,Halfgrip,Construction,Crane Sunset,Rust,Amber,Rust,,,,,,,,,,,,,,,,Artisan,,Equipped,,,,Starkware,,84.0,61.0,105.0,28.0,52.0,-11.0,100.0,47.0,42.0,53.0,28.0,48.0,48.0,40.0,85.0,85.0,0.0,0.0,50.0,Left,,,,,,,,,,,,,,
1760,Amerstal,Citizen,Alley,Black,Urban Camo,Carbon Grey,,,Orange,Dual,Shiny,Shiny,,,,,,,,,,Artisan,,,,,,Bills kill,,72.0,64.0,85.0,55.0,51.0,29.0,100.0,72.0,64.0,48.0,42.0,57.0,37.0,44.0,85.0,85.0,0.0,0.0,55.0,Right,,,,,,,,,,,,,,
1761,Stephaine,Police,Urban,Tarnished Pink Purple,Black,Blue Camo,,,Blue,,,,,,,,,,,,,Herd immunity,,Equipped,,,,Pinky stinkey,Equipped,84.0,68.0,81.0,65.0,41.0,46.0,100.0,55.0,58.0,53.0,51.0,84.0,38.0,42.0,90.0,85.0,0.0,15.0,59.0,Dual,,,,,,,,,,,,,,
1762,Crerdieu,Snow,Arctic,White,Glossy White,White,White,Orange,Blue,Single,Plasma Yellow,,Single,Mesh Maroon,,,,Single,,Black Tip Kunai,,Circus knives,,Equipped,,,,,Equipped,88.0,71.0,65.0,69.0,46.0,66.0,100.0,73.0,73.0,61.0,53.0,62.0,72.0,72.0,85.0,85.0,0.0,0.0,63.0,,,,,,Single,,,Blue,,,,,,
1763,Leia,Construction,Construction Site,Amber,Rust,Rust,,,,,,,,,,,,,,,,Artisan,,Equipped,,,,Brickie,,84.0,61.0,110.0,28.0,52.0,-11.0,100.0,47.0,42.0,48.0,28.0,63.0,43.0,40.0,85.0,85.0,0.0,0.0,50.0,Right,Healer,,,,,,,,,,,,,
1764,Ted,Police,Urban,Dark Blue,Black,Blue Camo,Blue Camo,Blue,,,,,,,,,,,,,,Healer,,,,,,,Equipped,63.0,58.0,72.0,65.0,45.0,47.0,100.0,51.0,52.0,46.0,52.0,91.0,34.0,42.0,85.0,85.0,0.0,0.0,55.0,Dual,,,,,,,,,,,,,,
1765,Schwalbe,Zen,Lake,Carbon Grey,Gold,Glossy White,Platinum,Red,White,,,,Single,,,,,Single,,EMP Kunai,White High Gloss Silk,Second wind,,,,,,Blessed one,,75.0,71.0,60.0,100.0,45.0,114.0,100.0,94.0,79.0,44.0,84.0,74.0,56.0,71.0,85.0,85.0,0.0,0.0,69.0,,EMP blast,,,,,,,,,,,,,
1766,Jenna,Snow,Arctic,White,White,Snow Camo,Snow Camo,Yellow,Green,Single,,Plasma Yellow,,,,,,Single,Black Tip Kunai,,,Shadow born,Equipped,,,,,,,74.0,65.0,68.0,60.0,55.0,61.0,100.0,67.0,60.0,50.0,54.0,54.0,61.0,67.0,85.0,85.0,0.0,0.0,59.0,,,Mesh Maroon,,,,,,,,,,,,
1767,Bazel,Logistics,Warehouse,Grey,Split Allocation,Orange,Orange,Orange,,,,,,,,,,,,,,Jetburst,,Equipped,,,,,,74.0,55.0,81.0,32.0,40.0,7.0,100.0,36.0,52.0,59.0,43.0,47.0,43.0,38.0,85.0,85.0,0.0,5.0,49.0,,,,,,,,,,,,,,,
1768,Jean,Logistics,Warehouse,Grey,Rust,Grey,,Yellow,,,,,,,,,,,,,,Healer,,Equipped,,,,Starkware,,83.0,55.0,89.0,22.0,48.0,-10.0,100.0,22.0,39.0,49.0,25.0,50.0,48.0,35.0,85.0,85.0,0.0,0.0,46.0,Left,,,,,,,,,,,,,,
1769,Elora,Logistics,Brutalist,Rust,Orange,Orange,Rust,Orange,Yellow,,,,,,,,,,,,,Jetburst,,Equipped,,,,,,74.0,55.0,87.0,29.0,45.0,6.0,100.0,29.0,46.0,60.0,37.0,46.0,43.0,35.0,85.0,85.0,0.0,0.0,48.0,Left,,,,,,,,,,,,,,
1770,Drystal,Citizen,Alley,Urban Camo,Black,Carbon Grey,,,Orange,,,,,,,,,,,,,,,,,,,,,66.0,58.0,75.0,49.0,47.0,27.0,100.0,50.0,51.0,44.0,46.0,62.0,35.0,40.0,85.0,85.0,0.0,0.0,51.0,Dual,,,,,,,,,,,,,,
1771,Brisbo,Sand,Desert,Amber,Amber,Tan,Amber,Orange,Orange,,,,Single,Nylon Fabric Black Worn,,,,Single,Black Tip Kunai,,,Dead eye,Equipped,,,,,Javelin,,65.0,56.0,71.0,64.0,50.0,66.0,100.0,100.0,86.0,52.0,55.0,53.0,86.0,74.0,85.0,85.0,0.0,0.0,64.0,,Circus knives,,,,Dual,Yellow,,Yellow,,,,,,
1772,Bibbles,Citizen,Alley,Carbon Grey,Black,Urban Camo,Black,Orange,,Dual,Shiny,Rusty,,,,,,,,,,Healer,,,,,,,,68.0,63.0,75.0,57.0,54.0,32.0,100.0,55.0,55.0,47.0,51.0,81.0,35.0,43.0,85.0,85.0,0.0,0.0,55.0,Dual,,,,,,,,,,,,,,
1773,Natash,Police,Urban,Blue Camo,Dark Blue,Dark Blue,Dark Blue,,Blue,Dual,Plasma Blue,Shiny,,,,,,,,,,Bills kill,,,,,,,Equipped,73.0,68.0,60.0,77.0,47.0,56.0,100.0,77.0,73.0,54.0,58.0,70.0,38.0,49.0,85.0,85.0,0.0,0.0,59.0,,,,,,,,,,,,,,,
1774,Weddle,Zen,Lake,Platinum,Silver,Glossy Black,Glossy Black,Red,White,Single,,Plasma Red,,,,,,,,,,Platypus,,,,,,,,96.0,83.0,60.0,102.0,43.0,115.0,100.0,91.0,98.0,56.0,72.0,85.0,53.0,76.0,85.0,85.0,0.0,0.0,72.0,,,,Single,,,,Equipped,,,,,,,Equipped
1775,Murice,Citizen,Alley,Black,Black,Grey,Carbon Grey,Orange,,Single,,Rusty,,,,,,,,,,Healer,,,,,,,,64.0,60.0,79.0,46.0,44.0,23.0,100.0,44.0,45.0,41.0,43.0,74.0,35.0,41.0,85.0,85.0,0.0,0.0,51.0,Dual,,,,,,,,,,,,,,
1776,Damion,Jungle,Jungle,Glossy Black,Army Camo,Carbon Black,Army Camo,Green,Blue,Single,,Plasma Blue,Single,,,,,Dual,Black Tip Kunai,Black Tip Kunai,Mesh Swamp Green,Circus knives,,,,,,Shadow born,,75.0,68.0,62.0,75.0,61.0,77.0,100.0,77.0,87.0,52.0,61.0,61.0,63.0,72.0,85.0,85.0,0.0,0.0,65.0,,,Mesh Swamp Green,,,,,,,,,,,,
1777,Maricus,Logistics,Warehouse,Grey,Rust,Orange,Rust,Yellow,,,,,,,,,,,,,,Healer,,,,,,,,59.0,50.0,88.0,30.0,44.0,-3.0,100.0,25.0,41.0,36.0,32.0,57.0,35.0,35.0,85.0,85.0,0.0,0.0,44.0,Left,,,,,,,,,,,,,,
1778,Karrajor,Logistics,Brutalist,Rust,Rust,Orange,Orange,Orange,Orange,,,,,,,,,,,,,Herd immunity,,Equipped,,,,Healer,,76.0,60.0,93.0,24.0,47.0,1.0,100.0,24.0,41.0,60.0,32.0,64.0,39.0,35.0,85.0,85.0,0.0,0.0,48.0,Left,Jetburst,,,,,,,,,,,,,
1779,Balfaro,Logistics,Brutalist,Grey,Orange,Grey,Rust,,Orange,,,,,,,,,,,,,Healer,,Equipped,,,,,,74.0,55.0,88.0,31.0,47.0,-1.0,100.0,27.0,44.0,44.0,34.0,59.0,43.0,35.0,85.0,85.0,0.0,0.0,47.0,Left,,,,,,,,,,,,,,
1780,Noga,Jungle,Jungle,Carbon Black,Carbon Black,Glossy Black,Green,Blue,Blue,,,,Full,Mesh Swamp Green,,,,Single,,Black Tip Kunai,Mesh Swamp Green,,,,,,,,,72.0,62.0,61.0,61.0,61.0,77.0,100.0,64.0,74.0,44.0,58.0,56.0,42.0,61.0,85.0,85.0,0.0,0.0,59.0,,,Mesh Swamp Green,,,,,,,,,,,,
1781,Clay,Defender,Laboratory,Glossy Black,Purple,Silver,Silver,Pink,White,,,,Single,Mesh Light Purple,,,,Dual,EMP Kunai,EMP Kunai,,Strong arm,,,Dual,Equipped,,Mortal faith,,57.0,70.0,60.0,115.0,42.0,89.0,100.0,85.0,78.0,47.0,85.0,68.0,56.0,77.0,80.0,85.0,0.0,0.0,66.0,,EMP blast,Mesh Light Purple,,,,,,,Equipped,,,,,
1782,Irma,Sand,Desert,Glossy Black,Amber,Desert Camo,Amber,Orange,Yellow,,,,,,,,,Single,,Black Tip Kunai,,Dead eye,Equipped,Equipped,,,,Shadow born,Equipped,84.0,61.0,67.0,77.0,60.0,67.0,100.0,97.0,86.0,69.0,60.0,68.0,85.0,74.0,85.0,85.0,0.0,0.0,68.0,,Starkware,,,,Dual,Blue,,Blue,,,,,,
1783,Sitha,Jungle,Jungle,Green,Glossy Black,Green,Glossy Black,Orange,Green,,,,Full,Mesh Swamp Green,,,,Dual,Black Tip Kunai,Black Tip Kunai,Mesh Swamp Green,Circus knives,Equipped,,,,,Shadow born,,65.0,59.0,64.0,73.0,57.0,74.0,100.0,79.0,87.0,48.0,59.0,58.0,77.0,74.0,85.0,85.0,0.0,0.0,64.0,,,,,,Single,,,Green,,,,,,
1784,Wiyazul,Hunter,Cave,Glossy Black,Urban Camo,Red,Glossy Black,Red,Red,Single,Plasma Red,,Single,Mesh Black,,,,Single,,EMP Kunai,,EMP blast,,,,,,,,92.0,76.0,60.0,96.0,88.0,90.0,100.0,86.0,78.0,57.0,63.0,60.0,68.0,77.0,85.0,85.0,0.0,0.0,70.0,,,,Single,Equipped,,,,,,,,,,
1785,Montrez,Jungle,Jungle,Red Jelly,Carbon Black,Carbon Black,Gold,Green,Green,Dual,Plasma Green,Plasma Green,,,,,,,,,,Plasma burn,Equipped,,,,,Redrum,,85.0,73.0,64.0,75.0,61.0,83.0,100.0,84.0,89.0,52.0,66.0,65.0,54.0,86.0,85.0,85.0,0.0,20.0,68.0,,,Nylon Fabric Black Worn,,,,,,,,,,,,
1786,Mauricio,Snow,Arctic,White,Snow Camo,Glossy White,Snow Camo,Orange,Yellow,,,,Single,,,,,Dual,Black Tip Kunai,Black Tip Kunai,Mesh Maroon,Javelin,Equipped,,,,,Circus knives,,64.0,57.0,66.0,70.0,48.0,75.0,100.0,95.0,87.0,55.0,58.0,58.0,96.0,80.0,85.0,85.0,0.0,0.0,66.0,,,Mesh Maroon,,,Dual,Pink,,Pink,,,,,,
1787,Patricky,Snow,Arctic,Snow Camo,Glossy White,Snow Camo,Glossy White,Yellow,Green,Single,Plasma Blue,,Single,Mesh Maroon,,,,,,,,Ice surfer,Equipped,,,,,,,79.0,68.0,64.0,72.0,50.0,79.0,100.0,81.0,75.0,57.0,63.0,63.0,63.0,67.0,85.0,85.0,0.0,0.0,64.0,,,Mesh Maroon,,,Single,,,Yellow,,,,,,
1788,Bear,Sand,Desert,Tan,Amber,Tan,Amber,Yellow,Blue,,,,,,,,,Dual,Black Tip Kunai,Black Tip Kunai,,Javelin,,,,,,Circus knives,Equipped,64.0,54.0,70.0,70.0,46.0,58.0,100.0,87.0,78.0,54.0,51.0,59.0,77.0,79.0,85.0,85.0,0.0,0.0,62.0,,Shadow born,,,,Dual,Blue,,Yellow,,,,,,
